"date","GPP","Precip","Tair","PAR","VPD","fapar","ET","DOY","CO2","year","GPPp","ETp","SWp"
2005-02-17,0.0119800284354,0.222,-9.25708333333333,3.27074748466732,0.00944166666666667,0.12,0.134350591914511,48,380,"2005",0,0.0586098708471021,185.871037049656
2005-02-18,0.0091616713074,0.486,-5.89083333333333,1.23475105255432,0.0159208333333333,0.14,0.112854509276689,49,380,"2005",0,0.0254237321336907,185.864024699771
2005-02-19,0.0032023896354,1.416,-3.29979166666667,1.45552733563903,0.02610625,0.14,0.158265733244303,50,380,"2005",0,0.0335836100243003,185.859349799847
2005-02-20,0.0054820462068,0.369,-5.24208333333333,3.13126800298848,0.0269416666666667,0.14,0.327492979126048,51,380,"2005",0,0.0663956429077322,185.856233199898
2005-02-21,0.0284006124522,0.483,-9.40458333333333,5.57566909976081,0.0244520833333333,0.14,0.252975279480115,52,380,"2005",0,0.0969162434048678,185.854155466599
2005-02-22,0.0663105858354,0.171,-15.6339583333333,9.67888589638827,0.0189729166666667,0.14,0.233624397438767,53,380,"2005",0,0.119365946721812,185.852770311066
2005-02-23,0.0827242298964,0,-14.35375,11.5978877870076,0.0281166666666667,0.14,0.169064546668895,54,380,"2005",0,0.154173075917492,185.851846874044
2005-02-24,0.0896409444114,0,-11.7766666666667,11.8205714818076,0.0344541666666667,0.14,0.166345101469973,55,380,"2005",0,0.181465960279231,185.851231249363
2005-02-25,0.0978830175258,0.18,-7.44020833333333,11.9733796651426,0.0769229166666667,0.14,0.394706406338277,56,380,"2005",0,0.229282239716575,185.850820832908
2005-02-26,0.113686096815,0.174,-10.4945833333333,9.82634935314611,0.0349125,0.14,0.195308983187703,57,380,"2005",0,0.161485821895438,185.850547221939
2005-02-27,0.1864729802196,0.084,-12.15875,12.4920896843775,0.0360645833333333,0.14,0.105923244260938,58,380,"2005",0,0.187836123707059,185.850364814626
2005-02-28,0.1747616858982,0.036,-14.33125,10.7117824549916,0.0240479166666667,0.14,0.154676914250371,59,380,"2005",0,0.142578790157274,185.850243209751
2005-03-01,0.1106806635576,0,-16.0833333333333,14.6489517765521,0.0387458333333333,0.14,0.13918026117342,60,380,"2005",0,0.175869421974467,185.850162139834
2005-03-02,0.082552503825,0,-12.7425,13.8247942760595,0.06088125,0.14,0.0521906955485308,61,380,"2005",0,0.201307362467675,185.850108093223
2005-03-03,0.1245048393132,0,-10.73875,16.7759178392728,0.0835916666666666,0.14,0.130363598654431,62,380,"2005",0,0.272189938567358,185.850072062148
2005-03-04,0.0971390153484,0,-9.44395833333333,11.8788700638341,0.0648854166666667,0.14,0.11832327121851,63,380,"2005",0,0.206066573639147,185.850048041432
2005-03-05,0.087912376542,0,-9.45125,11.210325569112,0.0436416666666667,0.14,0.214558535311569,64,380,"2005",0,0.194397176795236,185.850032027621
2005-03-06,0.1419836693004,0,-7.923125,15.4346265833934,0.0793520833333333,0.17,0.148492168083997,65,380,"2005",0,0.278682789250642,185.850021351748
2005-03-07,0.0778179622032,0.459,-8.74520833333333,5.24899172873476,0.0335229166666667,0.17,0.05270744907389,66,380,"2005",0,0.0910196389407281,185.850014234498
2005-03-08,0.1942252783848,0.933,-6.038125,14.6879311920042,0.10496875,0.17,0.582585592731664,67,380,"2005",0,0.289913069045126,185.850009489666
2005-03-09,0.2438820890406,0,-11.5985416666667,19.7572752027646,0.0835145833333333,0.17,0.115536222943189,68,380,"2005",0,0.295552297907477,185.850006326444
2005-03-10,0.1461372868962,0,-10.448125,12.3903610595633,0.102410416666667,0.17,0.134428531737509,69,380,"2005",0,0.196996669086642,185.850004217629
2005-03-11,0.1677371534406,0,-10.2770833333333,20.6034573479069,0.115391666666667,0.17,0.170698801453963,70,380,"2005",0,0.330506966617011,185.850002811753
2005-03-12,0.1174667080014,0.51,-10.2372916666667,10.795155553525,0.0649979166666667,0.17,0.162722054092691,71,380,"2005",0,0.173526633998983,185.850001874502
2005-03-13,0.2162806524954,0,-12.4502083333333,14.7040580931384,0.05530625,0.17,0.143686397191567,72,380,"2005",0,0.210003000597968,185.850001249668
2005-03-14,0.1868933123712,0,-12.6635416666667,18.8345515395899,0.0559208333333333,0.17,0.057360033386835,73,380,"2005",0,0.265848432343761,185.850000833112
2005-03-15,0.0644585256684,0,-11.60625,20.0073580720995,0.0621145833333333,0.17,0.100010120482916,74,380,"2005",0,0.29916924314385,185.850000555408
2005-03-16,0,0,-8.56833333333333,21.29823868815,0.125929166666667,0.17,0.132481294457226,75,380,"2005",0,0.372576011625908,185.850000370272
2005-03-17,0,2.448,-7.90458333333333,6.5829546823123,0.03484375,0.17,0.249600268671232,76,380,"2005",0,0.118966874529982,185.850000246848
