,0,1,2,3,train_loss,val_loss
310,128,16.0,256.0,256.0,2.583351232507964,7.045567409648032
311,4,256.0,16.0,,3.8373653973040636,5.0552471479320005
312,64,2.0,2.0,,3.794752594492398,5.356391623891567
313,2,2.0,8.0,,13.147335993297396,12.548090375791423
314,32,2.0,2.0,256.0,12.975221209382639,12.560590575570643
315,4,128.0,8.0,128.0,3.876674838855979,5.208539629470071
316,32,128.0,32.0,,2.854521662974905,6.021653470936352
317,8,256.0,64.0,,3.1687590725796766,5.51066442825791
318,32,32.0,256.0,,2.8971207480952144,6.218363552396388
319,32,2.0,128.0,16.0,3.4943418351612046,5.967456497893385
320,4,4.0,,,4.453016473533818,5.319931990669473
