,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
3285,-0.04658544,0.0,0.0,0.0,-0.079076685,0.0
3286,-0.0050908932,-1008.84546,-999.0,-999.0,-3.420515,-1006.13776
3287,5.7061014,-6.3322024,198.3472,43.675934,59.856445,16.464846
3288,0.088126674,0.1203094,0.0,0.0,-0.25650817,0.0
3289,-0.005618834,-1009.86646,-999.0,-999.0,-3.775233,-1006.8779
3290,5.7061014,-6.3322024,198.35147,43.675934,59.920986,16.464846
3291,0.053556807,0.0,0.0,0.0,-0.19343926,0.0
3292,-0.006407891,-1011.39246,-999.0,-999.0,-4.305392,-1007.98425
3293,5.7061014,-6.3322024,198.35591,43.675934,59.991802,16.464846
3294,0.0885954,0.17570809,0.0,0.0,-0.37777135,0.0
3295,-0.005510633,-1009.6572,-999.0,-999.0,-3.702534,-1006.72626
3296,5.7061014,-6.3322024,198.35706,43.675934,60.00751,16.464846
3297,0.043967497,0.0,0.0,0.0,-0.2167698,0.0
3298,-0.0021897359,-1003.2348,-999.0,-999.0,-1.4712595,-1002.0701
3299,5.7061014,-6.3322024,198.35818,43.675934,60.123405,16.464846
3300,0.059712175,0.1472594,0.0,0.0,-0.33690384,0.0
3301,-0.005835403,-1010.2853,-999.0,-999.0,-3.9207432,-1007.1816
3302,5.7061014,-6.3322024,198.36127,43.675934,59.924194,16.464846
3303,0.068322346,0.0,0.0,0.0,-0.43900043,0.0
3304,-0.006002511,-1010.60846,-999.0,-999.0,-4.033021,-1007.4159
3305,5.7061014,-6.3322024,198.36382,43.675934,60.0532,16.464846
3306,0.04931242,0.12561165,0.0,0.0,-0.36033693,0.0
3307,-0.00652777,-1011.62427,-999.0,-999.0,-4.3859367,-1008.15234
3308,5.7061014,-6.3322024,198.36497,43.675934,60.038616,16.464846
3309,0.049180795,0.0,0.0,0.0,-0.40917638,0.0
3310,-0.0062230565,-1011.035,-999.0,-999.0,-4.1812034,-1007.7251
3311,5.7061014,-6.3322024,198.36671,43.675934,60.191658,16.464846
3312,0.043967027,0.17405818,0.0,0.0,-0.41799116,0.0
3313,-0.0045691426,-1007.8364,-999.0,-999.0,-3.0699568,-1005.40625
3314,5.7061014,-6.3322024,198.36766,43.675934,60.351387,16.464846
3315,0.038164854,0.0,0.0,0.0,-0.4170825,0.0
3316,-0.0038146202,-1006.37726,-999.0,-999.0,-2.5630014,-1004.3483
3317,5.7061014,-6.3322024,198.36774,43.675934,60.46594,16.464846
3318,0.022380443,0.26105285,0.0,0.0,-0.2836029,0.0
3319,-0.0023617197,-1003.56744,-999.0,-999.0,-1.5868136,-1002.3113
3320,5.7061014,-6.3322024,198.36804,43.675934,60.563297,16.464846
3321,0.024092756,0.0,0.0,0.0,-0.35831168,0.0
3322,-0.0014848195,-1001.8715,-999.0,-999.0,-0.9976339,-1001.0818
3323,5.7061014,-6.3322024,198.36655,43.675934,60.607964,16.464846
3324,0.02171686,0.23465276,0.0,0.0,-0.38544446,0.0
3325,-0.003137002,-1005.0668,-999.0,-999.0,-2.1077173,-1003.39825
3326,5.7061014,-6.3322024,198.36913,43.675934,60.65329,16.464846
3327,0.010313474,0.0,0.0,0.0,-0.22364491,0.0
3328,-0.0034309258,-1005.6352,-999.0,-999.0,-2.3052013,-1003.81036
3329,5.7061014,-6.3322024,198.36961,43.675934,60.71982,16.464846
3330,0.018229762,0.4441856,0.0,0.0,-0.49980223,0.0
3331,-0.0023368006,-1003.5192,-999.0,-999.0,-1.5700707,-1002.27637
3332,5.7061014,-6.3322024,198.36589,43.675934,60.80071,16.464846
3333,0.007366095,0.0,0.0,0.0,-0.26934454,0.0
3334,-0.0016898426,-1002.26807,-999.0,-999.0,-1.1353867,-1001.36926
3335,5.7061014,-6.3322024,198.36601,43.675934,60.860092,16.464846
3336,0.00410329,0.18258083,0.0,0.0,-0.21966463,0.0
3337,-0.0024428233,-1003.72424,-999.0,-999.0,-1.641306,-1002.425
3338,5.7061014,-6.3322024,198.36636,43.675934,60.902283,16.464846
3339,0.0024766426,0.0,0.0,0.0,-0.23767427,0.0
3340,-0.0030538924,-1004.906,-999.0,-999.0,-2.0518768,-1003.28174
3341,5.7061014,-6.3322024,198.36598,43.675934,60.96292,16.464846
3342,0.00051801756,0.10271892,0.0,0.0,-0.20484163,0.0
3343,-0.0036050912,-1005.97205,-999.0,-999.0,-2.4222212,-1004.05457
3344,5.7061014,-6.3322024,198.36552,43.675934,61.03702,16.464846
3345,-0.0011280291,0.0,0.0,0.0,-0.22428253,0.0
3346,-0.0048374715,-1008.35535,-999.0,-999.0,-3.250244,-1005.7824
3347,5.7061014,-6.3322024,198.36562,43.675934,61.13143,16.464846
3348,-0.0038370984,0.08536945,0.0,0.0,-0.3123472,0.0
3349,-0.005776215,-1010.17084,-999.0,-999.0,-3.8809752,-1007.09863
3350,5.7061014,-6.3322024,198.3653,43.675934,61.25433,16.464846
3351,-0.0051918235,0.0,0.0,0.0,-0.26951933,0.0
3352,-0.00604507,-1010.6908,-999.0,-999.0,-4.0616164,-1007.4756
3353,5.7061014,-6.3322024,198.36542,43.675934,61.401936,16.464846
3354,-0.004734619,0.046409186,0.0,0.0,-0.18219006,0.0
3355,-0.0058535254,-1010.3204,-999.0,-999.0,-3.9329195,-1007.20703
3356,5.7061014,-6.3322024,198.36537,43.675934,61.543304,16.464846
3357,-0.0070706927,0.0,0.0,0.0,-0.2177236,0.0
3358,-0.005325914,-1009.3,-999.0,-999.0,-3.578423,-1006.4673
3359,5.7061014,-6.3322024,198.36426,43.675934,61.649323,16.464846
3360,-0.00867564,0.09831006,0.0,0.0,-0.22389816,0.0
3361,-0.0038378774,-1006.4222,-999.0,-999.0,-2.5786278,-1004.3809
3362,5.7061014,-6.3322024,198.36322,43.675934,61.7368,16.464846
3363,-0.011169642,0.0,0.0,0.0,-0.24920113,0.0
3364,-0.005452398,-1009.5446,-999.0,-999.0,-3.6634066,-1006.6446
3365,5.7061014,-6.3322024,198.36325,43.675934,61.830196,16.464846
3366,-0.0095252395,0.04267911,0.0,0.0,-0.1878539,0.0
3367,-0.0063370736,-1011.2555,-999.0,-999.0,-4.25781,-1007.88495
3368,5.7061014,-6.3322024,198.36296,43.675934,61.92516,16.464846
3369,-0.012443366,0.0,0.0,0.0,-0.22056969,0.0
3370,-0.00642607,-1011.4276,-999.0,-999.0,-4.317606,-1008.00977
3371,5.7061014,-6.3322024,198.3621,43.675934,62.060287,16.464846
3372,-0.014445947,0.054114264,0.0,0.0,-0.23314807,0.0
3373,-0.006679743,-1011.9182,-999.0,-999.0,-4.488046,-1008.3654
